Supplemental Table S3.  Species-level OTU table generated by MetaPhlAn2 analysis. Sample numbers in red correspond to the caries group and sample numbers in black correspond to the healthy group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
species,SC01,SC05,SC07,SC09,SC10,SC11,SC15,SC16,SC18,SC20,SC21,SC22,SC25,SC26,SC27,SC31,SC32,SC34,SC36,SC37,SC38,SC39,SC40,SC17,SC19,SC23,SC24,SC28,SC29,SC30,SC33,SC35,SC41,SC42,SC43,SC44,SC45,SC46,SC47,SC48,SC49,SC50,SC51,SC53,SC54,SC55,SC56
Aggregatibacter_actinomycetemcomitans ,0,5496.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.07,0,0,0,0,0,0,0,0,940.89
Aggregatibacter_aphrophilus ,777.343,0,0,0,0,340.715,0,0,0,0,374.247,0,0,0,0,0,0,0,0,0,207.826,71.6874,0,0,0,330.021,4579.26,3740.56,0,36.3865,2310.45,0,0,1585.58,2029.72,0,141.979,872.32,0,1577.61,0,0,0,0,0,2680.23,438.037
Aggregatibacter_segnis ,4958.6,0,4437.12,0,512.952,146.786,0,0,0,0,0,351.066,0,0,1969.95,38.6412,38.6497,0,1300.75,0,118.426,934.109,0,615.669,1933.61,6715.5,6047.91,582.889,979.113,696.763,0,146.557,750.657,121.017,737.012,1001.26,0,802.813,517.903,7775.08,144.01,0,639.503,0,157.452,1603.76,49.8579
Aggregatibacter_unclassified ,0,0,0,242.88,127.98,0,0,0,0,0,0,629.939,0,0,0,46.0877,187.551,0,1081.06,0,774.644,0,0,375.263,0,0,0,0,68.534,422.703,16.9929,0,0,480.659,0,1319.69,1778.39,6860.22,655.484,4011.63,0,1063.74,2755.12,437.631,1008.34,1292.83,4611.14
Alloprevotella_rava ,1373.71,0,0,0,0,4001.62,0,0,0,0,0,42.491,224.971,0,1763.29,14114.3,2729.04,509.935,1696.38,0,593.522,371.471,1457.88,0,85.5297,0,0,1534.31,4968.62,8780.76,201.571,0,21521.4,0,0,0,0,0,0,0,33351.4,0,1768.85,2351.55,94492.7,12152.1,4050.6
Alloprevotella_tannerae ,28207,0,25236.7,0,20189.6,14892.7,0,0,344.477,8830.28,19768.4,35.8904,0,1585.63,44488.5,8633.09,398.662,2363.64,12502.8,7396.69,13647.1,17029.7,4828.16,2472.29,6143.13,20236.3,413.407,0,34499.9,0,1602.61,754.704,182119,0,2332.51,0,3875.53,0,4447.84,6664.13,24777.4,14982.5,2983.62,3209.75,0,0,24280.8
Alloprevotella_unclassified ,0,0,0,712.85,0,0,22366.9,0,800.693,0,0,769.788,0,0,0,0,0,0,0,0,0,0,1462.02,7274.24,0,0,3377.93,0,0,0,455.879,0,0,0,0,282.882,0,398.177,0,0,0,0,6498.7,2154.8,0,0,0
Alloscardovia_omnicolens ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.788,0,0,0,0,0
Anaeroglobus_geminatus ,0,0,1778.87,0,0,0,0,0,0,387.564,0,0,0,0,0,0,0,0,0,744.774,0,3822.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_parvulum ,18652.4,21772,35472.5,5411.48,38396,58641.1,50603.6,55423.6,27245.2,51735,17022.4,32380.2,28922.7,10536.1,39222.7,58649.9,36548.9,33941.4,42384.4,17892.2,19664.9,158318,109660,41844.7,27655.8,15423.2,18817.5,91422.1,34031.9,27092.5,257559,53931.9,36634.8,15867.7,7100.75,8929.59,57338.4,3840.69,26674.5,16127.1,16650.1,139971,6772.45,3348.16,113485,34691.5,29156.9
