Final Max Accuracy: 92.92230261088392% in 0:1:28
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: sgd
Epoch: 2950, Train loss: 5.369705933004698, Test Loss: 5.419001111142278, Accuracy: 88.67568417741428
Epoch: 3000, Train loss: 5.354874100423027, Test Loss: 5.4044175422758745, Accuracy: 88.73859704309531
Epoch: 3050, Train loss: 5.341334704598782, Test Loss: 5.391116863527199, Accuracy: 88.80150990877634
Epoch: 3100, Train loss: 5.328990449411727, Test Loss: 5.379002629760485, Accuracy: 88.95879207297892
Epoch: 3150, Train loss: 5.31772485751118, Test Loss: 5.367953296384809, Accuracy: 89.05316137150047
Epoch: 3200, Train loss: 5.30742729158667, Test Loss: 5.357858323700618, Accuracy: 89.05316137150047
Epoch: 3250, Train loss: 5.2979904216960705, Test Loss: 5.348616055058033, Accuracy: 89.14753067002202
Epoch: 3300, Train loss: 5.289315982955201, Test Loss: 5.340124845644705, Accuracy: 89.17898710286254
Epoch: 3350, Train loss: 5.281317966568317, Test Loss: 5.332306750767256, Accuracy: 89.24189996854356
Epoch: 3400, Train loss: 5.2739205927997785, Test Loss: 5.325088511191206, Accuracy: 89.21044353570305
Epoch: 3450, Train loss: 5.267056857298888, Test Loss: 5.318401607886141, Accuracy: 89.3048128342246
Epoch: 3500, Train loss: 5.260669958480949, Test Loss: 5.312191019696475, Accuracy: 89.36772569990563
Epoch: 3550, Train loss: 5.254709841742328, Test Loss: 5.306407493390358, Accuracy: 89.43063856558666
Epoch: 3600, Train loss: 5.249133198229614, Test Loss: 5.301005281692207, Accuracy: 89.43063856558666
Epoch: 3650, Train loss: 5.243902194636742, Test Loss: 5.295950114601832, Accuracy: 89.43063856558666
Epoch: 3700, Train loss: 5.238984916037878, Test Loss: 5.2912059192747956, Accuracy: 89.46209499842718
Epoch: 3750, Train loss: 5.234353192202452, Test Loss: 5.286746725095851, Accuracy: 89.43063856558666
Epoch: 3800, Train loss: 5.229981328329852, Test Loss: 5.282546990886117, Accuracy: 89.5250078641082
Epoch: 3850, Train loss: 5.225846085133831, Test Loss: 5.278582331792082, Accuracy: 89.65083359547027
Epoch: 3900, Train loss: 5.221927525541098, Test Loss: 5.274836923229048, Accuracy: 89.74520289399183
Epoch: 3950, Train loss: 5.218208517839275, Test Loss: 5.2712872156233574, Accuracy: 89.77665932683234
Epoch: 4000, Train loss: 5.214673306496945, Test Loss: 5.267920172438013, Accuracy: 89.87102862535389
Epoch: 4050, Train loss: 5.2113061288397065, Test Loss: 5.264719850081963, Accuracy: 89.93394149103491
Epoch: 4100, Train loss: 5.208094426697798, Test Loss: 5.261674822056864, Accuracy: 89.96539792387543
Epoch: 4150, Train loss: 5.205026202008189, Test Loss: 5.2587745948634135, Accuracy: 89.96539792387543
Epoch: 4200, Train loss: 5.202090116919816, Test Loss: 5.256007994121501, Accuracy: 89.99685435671594
Epoch: 4250, Train loss: 5.199275818377839, Test Loss: 5.253362984678483, Accuracy: 90.02831078955647
