Sample_2	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_3	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_4	Sample_40	Sample_41	Sample_42	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_5	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_56	Sample_7	Sample_8	Sample_9	taxID
                    Bacteroides zoogleoformans	214	0	0	0	0	0	206	0	0	0	0	0	0	359	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	28119
                    Bergeyella cardium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585976
                    Blautia sp. SC05B48	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2479767
                    Brachybacterium sp. P6-10-X1	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	221	0	0	0	0	0	423	0	0	269	1903186
                    Brachybacterium sp. SGAir0954	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	359	2571029
                    Brachybacterium sp. VM2412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	2017484
                    Brachybacterium sp. VR2415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017485
                    Brevibacterium sp. CS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	2575923
                    Capnocytophaga endodontalis	272	242	602	872	667	647	730	264	221	0	0	592	346	0	0	374	0	9082	0	306	1610	1345	343	222	0	665	1357	232	0	2262	794	510	0	357	811	389	0	1871	1084	2708117
                    Capnocytophaga gingivalis	0	355	257	819	1290	558	6182	277	285	0	726	405	0	0	0	5772	0	42304	0	230	468	815	216	509	0	2218	4199	0	0	4139	501	408	0	757	652	1925	0	4334	3204	1017
                    Capnocytophaga haemolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45243
                    Capnocytophaga leadbetteri	660	740	0	562	0	337	1640	366	0	0	0	365	224	0	0	465	261	2260	0	439	305	0	738	0	3841	4323	3880	446	0	3078	976	0	0	334	1231	0	0	2549	542	327575
                    Capnocytophaga ochracea	0	209	872	559	796	738	664	383	357	323	0	532	1217	0	286	0	279	6989	0	1006	886	3306	377	462	0	421	4437	302	0	3483	443	560	567	270	1472	869	835	2449	3003	1018
                    Capnocytophaga sputigena	929	593	1936	3198	2249	2083	3291	496	1017	264	0	845	676	0	0	1876	312	33842	0	505	1209	1623	491	1337	260	5543	3238	533	0	8922	1199	1260	265	1138	955	505	340	4194	2813	1019
                    Cellulomonas sp. H30R-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	441	2704467
                    Cellulomonas sp. JZ18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	226	2654191
                    Cellulomonas sp. PSBB021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	2003551
                    Cellulomonas sp. Y8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	289	0	0	0	0	0	265	0	0	0	2591145
                    Christensenella sp. Marseille-P3954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2086585
                    Coprococcus sp. ART55/1	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	255	0	0	0	0	0	0	751585
                    Corynebacterium sp. 2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	2675219
                    Cryobacterium sp. LW097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	1978566
                    Flaviflexus sp. H23T48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	2496867
                    Gemella haemolysans	10668	230	290	4586	2728	1538	3384	0	1139	2520	214	313	202	0	273	8673	0	0	999	0	288	1488	299	0	738	845	2445	0	890	0	0	0	664	816	305	290	0	1730	567	1379
                    Gemella morbillorum	132003	7277	14594	167177	4306	27803	78793	2442	32485	13377	2125	7170	8315	9209	17316	4728	3962	0	1582	929	25397	1893	3341	7403	247	78135	34476	8839	1092	0	5658	2606	1677	676	5528	286	842	63616	15930	29391
                    Gemella sanguinis	3621	0	0	2542	339	709	1353	0	467	565	380	0	0	0	356	30236	0	0	0	0	363	223	0	0	563	1042	675	0	0	0	454	0	0	0	0	0	0	952	573	84135
                    Georgenia sp. Z294	0	0	0	0	403	0	0	0	0	0	0	478	0	0	0	0	0	0	0	313	0	771	0	0	353	0	343	0	0	574	0	0	0	0	0	842	242	0	847	2585135
                    Georgenia sp. Z443	0	0	0	0	475	0	0	0	0	0	0	474	0	0	0	0	0	0	0	266	0	660	0	0	291	0	392	0	0	544	0	0	0	0	0	1043	279	0	818	2589797
                    Georgenia sp. ZLJ0423	0	0	0	0	347	0	0	0	0	0	0	317	0	0	0	0	0	0	0	203	0	527	0	0	263	0	301	0	0	470	0	0	0	0	0	802	0	0	568	2483799
                    Haloactinobacterium sp. HY164	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	297	0	0	0	0	0	354	0	0	310	2675754
                    Lachnoclostridium sp. YL32	0	0	0	0	0	0	0	0	201	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	603	0	0	0	0	0	0	1834196
                    Lactobacillus paracasei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1597
                    Leucobacter sp. DSM 101948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	1935379
                    Microbacterium sp. L-031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2614639
                    Microlunatus sp. KUDC0627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	2596828
                    Miniimonas sp. S16	0	0	0	0	301	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	495	0	0	0	0	0	656	0	0	0	2171623
                    Mogibacterium diversum	243	3440	321	625	876	1475	929	6029	3239	8260	724	975	0	7870	23744	1130	1919	478	2683	0	2314	488	6846	0	1393	0	0	861	4623	0	2344	533	1750	238	474	0	2663	0	1619	114527
                    Mogibacterium pumilum	906	455	592	730	1021	505	1432	1947	1488	2209	0	0	0	2208	10088	431	451	424	472	0	1340	0	1114	0	541	0	0	1328	846	228	571	237	667	0	264	0	386	0	504	86332
                    Nocardioides sp. R-3366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	2712223
                    Nonomuraea sp. WYY166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	2656914
                    Oerskovia sp. KBS0722	0	0	0	0	215	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	247	0	0	0	0	0	643	0	0	308	1179673
                    Olsenella sp. GAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	4439	0	0	0	0	0	0	0	0	0	0	0	0	239	0	3119	0	0	0	0	0	2109685
                    Olsenella sp. oral taxon 807	35117	66772	20731	61310	16017	9602	15050	18766	13879	85274	88381	13328	257471	172547	30053	238	27745	33815	227203	31261	21538	73432	3025	0	353	15722	53044	57082	75465	290	9174	131918	38367	6639	80916	2571	121045	39999	116627	712411
                    Ornithinimicrobium sp. AMA3305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	2283195
                    Ornithinimicrobium sp. HY006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2508882
