Final Max Accuracy: 92.16734822271154% in 0:0:25
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: adam
Epoch: 2950, Train loss: 5.020627868668621, Test Loss: 5.390449003757563, Accuracy: 91.22365523749608
Epoch: 3000, Train loss: 5.019465592003137, Test Loss: 5.390385037099114, Accuracy: 91.12928593897452
Epoch: 3050, Train loss: 5.01846510015781, Test Loss: 5.390065752183816, Accuracy: 91.25511167033659
Epoch: 3100, Train loss: 5.0174452002699805, Test Loss: 5.389265902910775, Accuracy: 91.2865681031771
Epoch: 3150, Train loss: 5.016357548886241, Test Loss: 5.388332042444615, Accuracy: 91.22365523749608
Epoch: 3200, Train loss: 5.014745398313135, Test Loss: 5.387338040382177, Accuracy: 91.22365523749608
Epoch: 3250, Train loss: 5.013200666021384, Test Loss: 5.386523196878533, Accuracy: 91.25511167033659
Epoch: 3300, Train loss: 5.011924977300595, Test Loss: 5.3860628339815, Accuracy: 91.2865681031771
Epoch: 3350, Train loss: 5.010834309377982, Test Loss: 5.384908406121963, Accuracy: 91.2865681031771
Epoch: 3400, Train loss: 5.0098428968150674, Test Loss: 5.383982481405052, Accuracy: 91.25511167033659
Epoch: 3450, Train loss: 5.008842087849224, Test Loss: 5.381847344623881, Accuracy: 91.25511167033659
Epoch: 3500, Train loss: 5.0076802782327166, Test Loss: 5.3789191426287895, Accuracy: 91.2865681031771
Epoch: 3550, Train loss: 5.006275908496955, Test Loss: 5.374896140237526, Accuracy: 91.47530670022019
Epoch: 3600, Train loss: 5.004299696113561, Test Loss: 5.372287494549435, Accuracy: 91.53821956590123
Epoch: 3650, Train loss: 5.00296370555957, Test Loss: 5.371837709668708, Accuracy: 91.50676313306072
Epoch: 3700, Train loss: 5.001724301442647, Test Loss: 5.371235745307618, Accuracy: 91.47530670022019
Epoch: 3750, Train loss: 5.000368365385991, Test Loss: 5.370717950382868, Accuracy: 91.50676313306072
Epoch: 3800, Train loss: 4.999029317642854, Test Loss: 5.370413562478027, Accuracy: 91.50676313306072
Epoch: 3850, Train loss: 4.997918578169549, Test Loss: 5.369486392571529, Accuracy: 91.44385026737967
Epoch: 3900, Train loss: 4.996848509074307, Test Loss: 5.3681430666181456, Accuracy: 91.44385026737967
Epoch: 3950, Train loss: 4.995930052301513, Test Loss: 5.366930560143912, Accuracy: 91.53821956590123
Epoch: 4000, Train loss: 4.995032023453972, Test Loss: 5.365181992196603, Accuracy: 91.56967599874174
Epoch: 4050, Train loss: 4.994218610010141, Test Loss: 5.364281459125829, Accuracy: 91.63258886442277
Epoch: 4100, Train loss: 4.993405537034007, Test Loss: 5.362763043392003, Accuracy: 91.63258886442277
Epoch: 4150, Train loss: 4.9926165611679405, Test Loss: 5.361918599239162, Accuracy: 91.66404529726329
Epoch: 4200, Train loss: 4.991846024015746, Test Loss: 5.361211824297963, Accuracy: 91.6955017301038
Epoch: 4250, Train loss: 4.991046624344147, Test Loss: 5.361038276446564, Accuracy: 91.72695816294433
Epoch: 4300, Train loss: 4.99025143921534, Test Loss: 5.360541429849154, Accuracy: 91.72695816294433
Epoch: 4350, Train loss: 4.9894328689908045, Test Loss: 5.359108138493818, Accuracy: 91.72695816294433
